"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-29","0.00","0.0","0.0",,"85","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-30","0.04","0.0","0.0",,"85","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-31","0.03","0.0","0.0",,"87","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-01","0.00","0.0","0.0",,"84","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-02","0.00","0.0","0.0",,"89","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-03","0.00","0.0","0.0",,"82","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-04","0.00","0.0","0.0",,"82","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-05","0.00","0.0","0.0",,"81","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-06","0.00","0.0","0.0",,"82","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-07","0.00","0.0","0.0",,"82","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-08","0.00","0.0","0.0",,"87","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-09","0.00","0.0","0.0",,"81","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-10","0.00","0.0","0.0",,"83","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-11","0.00","0.0","0.0",,"80","58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-12","0.00","0.0","0.0",,"90","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-13","0.00","0.0","0.0",,"92","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-14","0.06","0.0","0.0",,"83","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-15","0.10","0.0","0.0",,"85","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-16","0.00","0.0","0.0",,"82","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-17","0.09","0.0","0.0",,"85","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-18","0.00","0.0","0.0",,"83","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-19","0.00","0.0","0.0",,"85","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-20","0.00","0.0","0.0",,"82","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-21","0.00","0.0","0.0",,"83","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-22","0.00","0.0","0.0",,"85","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-23","0.00","0.0","0.0",,"87","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-24","0.00","0.0","0.0",,"71","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09-25","0.00","0.0","0.0",,"71","60",
